cohort,mortality_available,standardization,state_definition,state,n,percent,population
elsa,False,fixed,matched_0.25,joint,8060,9.44878197463131,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.25,unimpaired,51616,60.50971841222949,four_state_mortality_endpoint_unavailable
hrs,True,fixed,matched_0.25,cognitive_only,29194,14.992271231005459,five_state_including_validated_death
hrs,True,fixed,matched_0.25,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,fixed,matched_0.25,functional_only,21687,11.137130444160286,five_state_including_validated_death
hrs,True,fixed,matched_0.25,joint,16919,8.68857426037478,five_state_including_validated_death
hrs,True,fixed,matched_0.25,unimpaired,113702,58.390464599156765,five_state_including_validated_death
klosa,True,fixed,matched_0.25,cognitive_only,6361,16.956336301114252,five_state_including_validated_death
klosa,True,fixed,matched_0.25,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,fixed,matched_0.25,functional_only,1674,4.462334061950205,five_state_including_validated_death
klosa,True,fixed,matched_0.25,joint,2349,6.261662312736578,five_state_including_validated_death
klosa,True,fixed,matched_0.25,unimpaired,25454,67.85200191928347,five_state_including_validated_death
mhas,True,fixed,matched_0.25,cognitive_only,11769,16.468662104865455,five_state_including_validated_death
mhas,True,fixed,matched_0.25,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,fixed,matched_0.25,functional_only,6363,8.903908316191595,five_state_including_validated_death
mhas,True,fixed,matched_0.25,joint,4751,6.648195569735387,five_state_including_validated_death
mhas,True,fixed,matched_0.25,unimpaired,43165,60.40188629080783,five_state_including_validated_death
share,True,fixed,matched_0.25,cognitive_only,41947,16.493657646605485,five_state_including_validated_death
share,True,fixed,matched_0.25,death,13584,5.341260292070682,five_state_including_validated_death
share,True,fixed,matched_0.25,functional_only,20350,8.001667177829681,five_state_including_validated_death
share,True,fixed,matched_0.25,joint,18258,7.179087927902423,five_state_including_validated_death
share,True,fixed,matched_0.25,unimpaired,160183,62.98432695559173,five_state_including_validated_death
charls,True,fixed,matched_0.25,cognitive_only,10419,15.778713351102496,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.25,functional_only,9452,14.314271868185122,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.25,joint,6085,9.215228979888538,living_domain_states_with_validated_death_endpoint
